host_shortname,datacenter_id,ci_type,offering,cdir,customer_id,server_purpose,os_type,os_name,sid,primary_application_area,function,mgmt_ip,cust_ip,dpe_email,pdl_email,sid2,ifn,purpose,hypervisor_cluster_id
deeh11edw200f,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.79.143,160.100.170.143,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_008
deeh11edw2011,EHNINGEN PROD-POD1,SYS P,CMS4SAP,EDW,Edwards Ltd,Non Prod - QA / Dev,AIX,AIX 7.1.x,SAB,BW Development,App-DB,172.18.79.145,160.100.170.145,Regina Pranckeviciene,Vlad Cristea,,172.18.79.145,N,test_hypervisor_009
deeh11edw2016,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.79.150,160.100.170.150,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_010
deeh11edw2018,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.79.152,160.100.170.152,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_011
deeh11edw2019,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.79.153,160.100.170.153,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_012
deeh11edw2017,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.79.151,160.100.170.151,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_013
deeh11ed11005,EHNINGEN PROD-POD1,xSeries,CMS,ED1,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,10.177.32.5,160.100.175.5,Regina Pranckeviciene,Adrian Radu Ilea,,N/A,N/A,test_hypervisor_014
deeh11ed11008,EHNINGEN PROD-POD1,xSeries,CMS,ED1,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,10.177.32.8,160.100.175.8,Regina Pranckeviciene,Adrian Radu Ilea,,N/A,N/A,test_hypervisor_015
deeh11ed11006,EHNINGEN PROD-POD1,xSeries,CMS,ED1,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,10.177.32.6,160.100.175.6,Regina Pranckeviciene,Adrian Radu Ilea,,N/A,N/A,test_hypervisor_016
deeh11edw2020,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.79.160,160.100.170.160,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_017
deeh11ed1100b,EHNINGEN PROD-POD1,xSeries,CMS,ED1,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,10.177.32.11,160.100.175.11,Regina Pranckeviciene,Adrian Radu Ilea,,N/A,N/A,test_hypervisor_018
deeh11edw2022,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.79.162,160.100.170.162,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_019
deeh11edw2023,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Non Prod - Non-Production,Windows,Windows 2008 R2 Standard 64b,SAT,SAP Middleware - 1600 SAPS,App-DB,172.18.79.163,160.100.170.163,Regina Pranckeviciene,Vlad Cristea,,172.18.79.163,N,test_hypervisor_020
deeh11edw2025,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,Windows 2008 R2 Standard 64b,0,SAP Middleware - 1600 SAPS,App-DB,172.18.79.165,160.100.170.165,Regina Pranckeviciene,Vlad Cristea,,172.18.79.165,N,test_hypervisor_021
deeh11edw2024,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,Windows 2008 R2 Standard 64b,PAT,SAP Middleware - 1600 SAPS,App-DB,172.18.79.164,160.100.170.164,Regina Pranckeviciene,Vlad Cristea,,172.18.79.164,N,test_hypervisor_022
deeh11edw2013,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,Windows 2003 R2 Enterprise 64b,0,SAP Vertex,App-DB,172.18.79.147,160.100.170.147,Regina Pranckeviciene,Vlad Cristea,,172.18.79.147,N,test_hypervisor_023
deeh11ed1100f,EHNINGEN PROD-POD1,xSeries,CMS,ED1,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,10.177.32.15,160.100.175.15,Regina Pranckeviciene,Adrian Radu Ilea,,N/A,N/A,test_hypervisor_024
deeh11edw2015,EHNINGEN PROD-POD1,N/A,CMS4SAP,EDW,Edwards Ltd,Prod,Linux,SLES Linux 12 64-bit,PAM,Production,DB,172.18.79.149,160.100.170.149,Regina Pranckeviciene,Vlad Cristea,,172.18.79.149,N,test_hypervisor_025
deeh11edw201d,EHNINGEN PROD-POD1,SYS P,CMS4SAP,EDW,Edwards Ltd,Prod,AIX,AIX 7.1.x,PAE,Pae Application Server,App,172.18.79.157,160.100.170.157,Regina Pranckeviciene,Vlad Cristea,,172.18.79.157,N,test_hypervisor_026
deeh11edw2026,EHNINGEN PROD-POD1,N/A,CMS4SAP,EDW,Edwards Ltd,Non Prod - QA / Dev,Linux,SLES Linux 12 64-bit,QAS,Development / QAS,DB,172.18.79.166,160.100.170.166,Regina Pranckeviciene,Vlad Cristea,,172.18.79.166,N,test_hypervisor_027
deeh11edw2029,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.79.169,160.100.170.169,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_028
chwt11edw2005,WINTERTHUR PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.71.5,10.41.181.5,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_029
chwt11edw2006,WINTERTHUR PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.71.6,10.41.181.6,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_030
deeh11edw2010,EHNINGEN PROD-POD1,SYS P,CMS4SAP,EDW,Edwards Ltd,Prod,AIX,N/A,N/A,N/A,N/A,172.18.79.144,160.100.170.144,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_031
chwt11edw200f,WINTERTHUR PROD-POD1,N/A,CMS4SAP,EDW,Edwards Ltd,Disaster Recovery,Linux,SLES Linux 12 64-bit,PAM,DR,DB,172.18.71.15,10.26.129.15,Regina Pranckeviciene,Vlad Cristea,,172.18.71.15,N,test_hypervisor_032
chwt11edw2014,WINTERTHUR PROD-POD1,SYS P,CMS4SAP,EDW,Edwards Ltd,Disaster Recovery,AIX,AIX 7.1.x,PAB,BW PROD PAB,App-DB,172.18.71.20,10.41.181.20,Regina Pranckeviciene,Vlad Cristea,,172.18.71.20,N,test_hypervisor_033
deeh11ed1100e,EHNINGEN PROD-POD1,xSeries,CMS,ED1,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,10.177.32.14,160.100.175.14,Regina Pranckeviciene,Adrian Radu Ilea,,N/A,N/A,test_hypervisor_034
deeh11ed11010,EHNINGEN PROD-POD1,xSeries,CMS,ED1,Edwards Ltd,Prod,Linux,N/A,N/A,N/A,N/A,10.177.32.16,160.100.175.16,Regina Pranckeviciene,Adrian Radu Ilea,,N/A,N/A,test_hypervisor_035
deeh11ed11012,EHNINGEN PROD-POD1,xSeries,CMS,ED1,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,10.177.32.18,160.100.175.18,Regina Pranckeviciene,Adrian Radu Ilea,,N/A,N/A,test_hypervisor_036
deeh11edw2028,EHNINGEN PROD-POD1,SYS P,CMS4SAP,EDW,Edwards Ltd,Prod,AIX,AIX 7.1.x,PAC,PAC PRD_App,App,172.18.79.168,160.100.170.168,Regina Pranckeviciene,Vlad Cristea,,172.18.79.168,N,test_hypervisor_037
deeh11ed11011,EHNINGEN PROD-POD1,xSeries,CMS,ED1,Edwards Ltd,Prod,Linux,N/A,N/A,N/A,N/A,10.177.32.17,160.100.175.17,Regina Pranckeviciene,Adrian Radu Ilea,,N/A,N/A,test_hypervisor_038
dcdeedw101,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.79.155,160.100.170.155,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_039
dcdeedw102,EHNINGEN PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.79.156,160.100.170.156,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_040
chwt11edw2007,WINTERTHUR PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.71.7,10.41.181.7,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_041
chwt11edw2010,WINTERTHUR PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.71.16,10.41.181.16,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_002
deeh11ed11011,EHNINGEN PROD-POD1,xSeries,CMS,ED1,Edwards Ltd,Prod,Linux,N/A,N/A,N/A,N/A,10.177.32.17,160.100.175.17,Regina Pranckeviciene,Adrian Radu Ilea,,N/A,N/A,test_hypervisor_003
deeh11edw2999,EHNINGEN PROD-POD1,N/A,CMS4SAP,EDW,Edwards Ltd,Non Prod - Development,AIX,AIX 7.1.x,CAE,SAP ECC (ABAP)-Dev,App-DB,172.18.79.146,160.100.170.146,Regina Pranckeviciene,Vlad Cristea,,172.18.79.146,N,test_hypervisor_004
deeh11edw201a,EHNINGEN PROD-POD1,N/A,CMS4SAP,EDW,Edwards Ltd,Non Prod - NON_PRODUCTION,Linux,N/A,N/A,N/A,N/A,172.18.79.154,160.100.170.154,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_005
chwt11edw2008,WINTERTHUR PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Non Prod - NON_PRODUCTION,Windows,N/A,N/A,N/A,N/A,172.18.71.8,10.41.181.8,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_006
chwt11edw2007,WINTERTHUR PROD-POD1,xSeries,CMS4SAP,EDW,Edwards Ltd,Prod,Windows,N/A,N/A,N/A,N/A,172.18.71.7,10.41.181.7,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_007
deeh11edw201e,EHNINGEN PROD-POD1,N/A,CMS4SAP,EDW,Edwards Ltd,Non Prod - Non-Production,AIX,AIX 7.1.x,YAE,ECC Sandbox,App-DB,172.18.79.158,160.100.170.158,Regina Pranckeviciene,Vlad Cristea,,172.18.79.158,N,test_hypervisor_008
deeh11edw1006,N/A,N/A,CMS4SAP,EDW,Edwards Ltd,Non Prod - NON_PRODUCTION,Windows,N/A,N/A,N/A,N/A,N/A,N/A,Regina Pranckeviciene,Vlad Cristea,,N/A,N/A,test_hypervisor_009
deeh11edw2005,EHNINGEN PROD-POD1,SYS P,CMS4SAP,EDW,Edwards Ltd,Prod,AIX,AIX 7.1.x,PAA,SAP SCM PROD PAA,App-DB,172.18.79.133,160.100.170.133,Regina Pranckeviciene,Vlad Cristea,,172.18.79.133,N,test_hypervisor_010
deeh11edw2006,EHNINGEN PROD-POD1,SYS P,CMS4SAP,EDW,Edwards Ltd,Prod,AIX,AIX 7.1.x,0,BW PROD PAB,App-DB,172.18.79.134,160.100.170.134,Regina Pranckeviciene,Vlad Cristea,,172.18.79.134,N,test_hypervisor_011
deeh11edw2009,EHNINGEN PROD-POD1,SYS P,CMS4SAP,EDW,Edwards Ltd,Prod,AIX,AIX 7.1.x,PAE,SAP ERP - PAE,App-DB,172.18.79.137,160.100.170.137,Regina Pranckeviciene,Vlad Cristea,,172.18.79.137,N,test_hypervisor_012
brho11z2n2008,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.8,10.52.11.8,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_013
brho11z2n2007,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.7,10.52.11.7,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_014
empvw5204,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.5,10.52.11.5,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_015
empvw5203,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.6,10.52.11.6,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_016
empvw5209,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.15,10.52.11.15,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_017
empvw5219,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.27,10.52.11.27,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_018
empvw5214,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.22,10.52.11.22,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_019
empvw5205,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.12,10.52.11.12,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_020
empvw5217,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.17,10.52.11.17,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_021
empvw5212,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.16,10.52.11.16,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_022
empvw5208,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.14,10.52.11.14,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_023
empvw5213,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.19,10.52.11.19,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_024
empvw5216,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.20,10.52.11.20,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_025
empvw5224,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.30,10.52.11.30,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_026
empvw5210,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.18,10.52.11.18,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_027
empvw5223,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.24,10.52.11.24,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_028
empvw5215,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.21,10.52.11.21,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_029
empvw5206,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.13,10.52.11.13,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_030
empvw5225,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.29,10.52.11.29,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_031
empvw5220,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.26,10.52.11.26,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_032
empvw5218,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.31,10.52.11.31,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_033
empvw5207,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.32,10.52.11.32,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_034
empvw5222,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.28,10.52.11.28,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_035
empvw5221,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.25,10.52.11.25,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_036
empvw5226,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.37,10.52.11.37,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_037
empvw5227,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.11,10.52.11.11,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_038
empvw5228,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.33,10.52.11.33,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_039
empvw5201,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.9,10.52.11.9,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_040
empvw5202,BRAZIL PROD-POD1,xSeries,CMS,Z2N,Employer - ORGANIZACAO DE RECURSOS HUMANOS LTDA,Prod,Windows,N/A,N/A,N/A,N/A,10.177.20.10,10.52.11.10,JULIAN UMANA SOTO,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_041
brho11z7a200c,BRAZIL PROD-POD1,xSeries,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Prod,Windows,N/A,N/A,N/A,N/A,10.177.51.12,10.94.1.12,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_041
brho11z7a200d,BRAZIL PROD-POD1,xSeries,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Prod,Windows,N/A,N/A,N/A,N/A,10.177.51.13,10.94.1.13,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_002
eopm-s-sol01,BRAZIL PROD-POD1,SYS P,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Prod,AIX,AIX 7.1.x,PS5,Solman,App-DB,10.177.51.23,10.94.1.23,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.51.23,N,test_hypervisor_003
eopm-s-qds402,BRAZIL PROD-POD1,SYS P,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Non Prod - QA / Dev,AIX,AIX 7.1.x,DE5,ERP S/4,App,10.177.44.18,10.94.0.18,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.44.18,N,test_hypervisor_004
eopm-s-dpi01,BRAZIL PROD-POD1,SYS P,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Non Prod - Development,AIX,AIX 7.1.x,DA5,PI AEX - NFe,App-DB,10.177.44.21,10.94.0.21,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.44.21,N,test_hypervisor_005
eopm-s-dgr01,BRAZIL PROD-POD1,SYS P,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Non Prod - Development,AIX,AIX 7.1.x,DN5,SAP GRC,App-DB,10.177.44.20,10.94.0.20,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.44.20,N,test_hypervisor_006
eopm-s-dpo01,BRAZIL PROD-POD1,SYS P,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Non Prod - Development,AIX,AIX 7.1.x,DI5,SAP PO (Process Orchestration),App-DB,10.177.44.22,10.94.0.22,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.44.22,N,test_hypervisor_007
eopm-s-dfi01,BRAZIL PROD-POD1,SYS P,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Non Prod - Development,AIX,AIX 7.1.x,DF5,SAP Fiori,App-DB,10.177.44.19,10.94.0.19,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.44.19,N,test_hypervisor_008
eopm-s-dwd01,BRAZIL PROD-POD1,xSeries,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Non Prod - Development,Linux,RedHat Linux Enterprise 6.x,DW5,Web Dispatcher,App,10.177.44.23,10.94.0.23,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.44.23,N,test_hypervisor_009
eopm-s-pkd01,BRAZIL PROD-POD1,xSeries,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Non Prod - Development,Linux,RedHat Linux Enterprise 6.x,DC5,SAP KPRO,App-DB,10.177.44.24,10.94.0.24,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.44.24,N,test_hypervisor_010
eopm-s-ps402,BRAZIL PROD-POD1,SYS P,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Prod,AIX,AIX 7.1.x,S4P,ERP S/4,App,10.177.51.24,10.94.1.24,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.51.24,N,test_hypervisor_011
eopm-s-pfi01,BRAZIL PROD-POD1,SYS P,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Prod,AIX,AIX 7.1.x,PF5,SAP Fiori,App-DB,10.177.51.25,10.94.1.25,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.51.25,N,test_hypervisor_012
eopm-s-ppi01,BRAZIL PROD-POD1,SYS P,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Prod,AIX,AIX 7.1.x,PA5,PI AEX - NFe,App-DB,10.177.51.26,10.94.1.26,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.51.26,N,test_hypervisor_013
eopm-s-ppo01,BRAZIL PROD-POD1,SYS P,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Prod,AIX,AIX 7.1.x,PI5,SAP PO,App-DB,10.177.51.29,10.94.1.29,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.51.29,N,test_hypervisor_014
eopm-s-pwd01,BRAZIL PROD-POD1,xSeries,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Prod,Linux,RedHat Linux Enterprise 6.x,PW1,Web Dispatcher,App,10.177.51.28,10.94.1.28,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.51.28,N,test_hypervisor_015
eopm-s-pgr01,BRAZIL PROD-POD1,SYS P,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Prod,AIX,AIX 7.1.x,PN5,GRC,App-DB,10.177.51.27,10.94.1.27,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.51.27,N,test_hypervisor_016
eopm-s-pbw01,BRAZIL PROD-POD1,SYS P,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Prod,AIX,AIX 7.1.x,PB1,SAP BW,App,10.177.51.16,10.94.1.16,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.51.16,N,test_hypervisor_017
eopm-s-pbo01,BRAZIL PROD-POD1,SYS P,IC4SAP-CMS,Z7A,Empresa De Onibus Passaro Marron S/A,Prod,AIX,AIX 7.1.x,PO1,SAP BI,App-DB,10.177.51.18,10.94.1.18,Walter Fabian Robles Arce,CDIR in Score CU Sheet but no PDL,,10.177.51.18,N,test_hypervisor_018
